username,full_text,Label,cleaned_text,casefolding_text,norm_text,token_text,swremove_text,stem_text,Sentimen,mention,hashtag
bakidin_jayadi,Keindahan venue PON 2024 membuat setiap pertandingan terasa lebih magis! #PONKita2024,1,Keindahan venue PON membuat setiap pertandingan terasa lebih magis,keindahan venue pon membuat setiap pertandingan terasa lebih magis,keindahan venue pon membuat setiap pertandingan terasa lebih magis,"['keindahan', 'venue', 'pon', 'membuat', 'setiap', 'pertandingan', 'terasa', 'lebih', 'magis']","['keindahan', 'venue', 'pon', 'membuat', 'pertandingan', 'terasa', 'lebih', 'magis']",indah venue pon buat tanding asa lebih magis,Positif,[],['#PONKita2024']
anik_karolina12,PON 2024 bakal jadi event yang paling dinantikan dengan venue yang dah mantap! #PONKita2024,1,PON bakal jadi event yang paling dinantikan dengan venue yang dah mantap,pon bakal jadi event yang paling dinantikan dengan venue yang dah mantap,pon bakal jadi event yang paling dinantikan dengan venue yang sudah mantap,"['pon', 'bakal', 'jadi', 'event', 'yang', 'paling', 'dinantikan', 'dengan', 'venue', 'yang', 'sudah', 'mantap']","['pon', 'bakal', 'jadi', 'event', 'paling', 'dinantikan', 'venue', 'sudah', 'mantap']",pon bakal jadi event paling nanti venue sudah mantap,Positif,[],['#PONKita2024']
calista_nurai,Pertandingan demi pertandingan di eSPORT PON Aceh-Sumut 2024 diprediksi akan berlangsung intens. #PONKita2024,0,Pertandingan demi pertandingan di eSPORT PON Aceh Sumut diprediksi akan berlangsung intens,pertandingan demi pertandingan di esport pon aceh sumut diprediksi akan berlangsung intens,pertandingan demi pertandingan di esport pon aceh sumut diprediksi akan berlangsung intens,"['pertandingan', 'demi', 'pertandingan', 'di', 'esport', 'pon', 'aceh', 'sumut', 'diprediksi', 'akan', 'berlangsung', 'intens']","['pertandingan', 'pertandingan', 'esport', 'pon', 'aceh', 'sumut', 'diprediksi', 'berlangsung', 'intens']",tanding tanding esport pon aceh sumut prediksi langsung intens,Netral,[],['#PONKita2024']
hariankompas,Jatim meraih medali emas pada seluruh nomor di cabang tenis PON Aceh-Sumut 2024. #Olahraga #AdadiKompas,0,Jatim meraih medali emas pada seluruh nomor di cabang tenis PON Aceh Sumut,jatim meraih medali emas pada seluruh nomor di cabang tenis pon aceh sumut,jatim meraih medali emas pada seluruh nomor di cabang tenis pon aceh sumut,"['jatim', 'meraih', 'medali', 'emas', 'pada', 'seluruh', 'nomor', 'di', 'cabang', 'tenis', 'pon', 'aceh', 'sumut']","['jatim', 'meraih', 'medali', 'emas', 'seluruh', 'nomor', 'cabang', 'tenis', 'pon', 'aceh', 'sumut']",jatim raih medali emas seluruh nomor cabang tenis pon aceh sumut,Netral,[],"['#Olahraga', '#AdadiKompas']"
NasionalBerita_,@recehtapisayng Yah sayang banget ya Saaih Halilintar gagal tampil di PON 2024. Semoga bisa bangkit lagi di kesempatan lain.,-1,Yah sayang banget ya Saaih Halilintar gagal tampil di PON Semoga bisa bangkit lagi di kesempatan lain,yah sayang banget ya saaih halilintar gagal tampil di pon semoga bisa bangkit lagi di kesempatan lain,yah sayang banget ya saaih halilintar gagal tampil di pon semoga bisa bangkit lagi di kesempatan lain,"['yah', 'sayang', 'banget', 'ya', 'saaih', 'halilintar', 'gagal', 'tampil', 'di', 'pon', 'semoga', 'bisa', 'bangkit', 'lagi', 'di', 'kesempatan', 'lain']","['yah', 'sayang', 'banget', 'saaih', 'halilintar', 'gagal', 'tampil', 'pon', 'semoga', 'bangkit', 'di', 'kesempatan']",yah sayang banget saaih halilintar gagal tampil pon moga bangkit di sempat,Negatif,['@recehtapisayng'],[]
tempodotco,Sumut Cetak Sejarah Masuk 3 Besar Cabor Squash PON 2024,0,Sumut Cetak Sejarah Masuk Besar Cabor Squash PON,sumut cetak sejarah masuk besar cabor squash pon,sumut cetak sejarah masuk besar cabor squash pon,"['sumut', 'cetak', 'sejarah', 'masuk', 'besar', 'cabor', 'squash', 'pon']","['sumut', 'cetak', 'sejarah', 'masuk', 'besar', 'cabor', 'squash', 'pon']",sumut cetak sejarah masuk besar cabor squash pon,Netral,[],[]
IDNTimesSumut,Hasil Lengkap Bulu Tangkis PON 2024: Jateng Juara Umum dengan 5 Emas,0,Hasil Lengkap Bulu Tangkis PON Jateng Juara Umum dengan Emas,hasil lengkap bulu tangkis pon jateng juara umum dengan emas,hasil lengkap bulu tangkis pon jateng juara umum dengan emas,"['hasil', 'lengkap', 'bulu', 'tangkis', 'pon', 'jateng', 'juara', 'umum', 'dengan', 'emas']","['hasil', 'lengkap', 'bulu', 'tangkis', 'pon', 'jateng', 'juara', 'umum', 'emas']",hasil lengkap bulu tangkis pon jateng juara umum emas,Netral,[],[]
tempodotco,Menpora RI Pastikan PSSI Bakal Investigasi Insiden Kontroversial di PON XXI Aceh-Sumut 2024,-1,Menpora RI Pastikan PSSI Bakal Investigasi Insiden Kontroversial di PON XXI Aceh Sumut,menpora ri pastikan pssi bakal investigasi insiden kontroversial di pon xxi aceh sumut,menpora ri pastikan pssi bakal investigasi insiden kontroversial di pon xxi aceh sumut,"['menpora', 'ri', 'pastikan', 'pssi', 'bakal', 'investigasi', 'insiden', 'kontroversial', 'di', 'pon', 'xxi', 'aceh', 'sumut']","['menpora', 'ri', 'pastikan', 'pssi', 'bakal', 'investigasi', 'insiden', 'kontroversial', 'pon', 'xxi', 'aceh', 'sumut']",menpora ri pasti pssi bakal investigasi insiden kontroversial pon xxi aceh sumut,Negatif,[],[]
okezonenews,@imwintmr Venue PON 2024 dah disiapkan sepenuhnya suasana pertandingan pasti lebih hebat #PONKita2024,1,Venue PON dah disiapkan sepenuhnya suasana pertandingan pasti lebih hebat,venue pon dah disiapkan sepenuhnya suasana pertandingan pasti lebih hebat,venue pon sudah disiapkan sepenuhnya suasana pertandingan pasti lebih hebat,"['venue', 'pon', 'sudah', 'disiapkan', 'sepenuhnya', 'suasana', 'pertandingan', 'pasti', 'lebih', 'hebat']","['venue', 'pon', 'disiapkan', 'sepenuhnya', 'suasana', 'pertandingan', 'lebih', 'hebat']",venue pon siap sepenuh suasana tanding lebih hebat,Positif,['@imwintmr'],['#PONKita2024']
POLSEKMMS2022,Personel Sie Propam Polresta Denpasar Polda Bali Bripda Made Aldi Sancitayasa berhasil meraih medali perak pada PON XXI Aceh-Sumatera Utara (Sumut) tahun 2024. Medali perak untuk Provinsi Bali diraih Bripda Made Aldi Sancitayasa pada cabang olahraga (cabor) pencak silat. https://t.co/hfEqVREtX5,1,Personel Sie Propam Polresta Denpasar Polda Bali Bripda Made Aldi Sancitayasa berhasil meraih medali perak pada PON XXI Aceh Sumatera Utara Sumut tahun Medali perak untuk Provinsi Bali diraih Bripda Made Aldi Sancitayasa pada cabang olahraga cabor pencak silat,personel sie propam polresta denpasar polda bali bripda made aldi sancitayasa berhasil meraih medali perak pada pon xxi aceh sumatera utara sumut tahun medali perak untuk provinsi bali diraih bripda made aldi sancitayasa pada cabang olahraga cabor pencak silat,personel sie propam polresta denpasar polda bali bripda made aldi sancitayasa berhasil meraih medali perak pada pon xxi aceh sumatera utara sumut tahun medali perak untuk provinsi bali diraih bripda made aldi sancitayasa pada cabang olahraga cabor pencak silat,"['personel', 'sie', 'propam', 'polresta', 'denpasar', 'polda', 'bali', 'bripda', 'made', 'aldi', 'sancitayasa', 'berhasil', 'meraih', 'medali', 'perak', 'pada', 'pon', 'xxi', 'aceh', 'sumatera', 'utara', 'sumut', 'tahun', 'medali', 'perak', 'untuk', 'provinsi', 'bali', 'diraih', 'bripda', 'made', 'aldi', 'sancitayasa', 'pada', 'cabang', 'olahraga', 'cabor', 'pencak', 'silat']","['personel', 'sie', 'propam', 'polresta', 'denpasar', 'polda', 'bali', 'bripda', 'made', 'aldi', 'sancitayasa', 'berhasil', 'meraih', 'medali', 'perak', 'pon', 'xxi', 'aceh', 'sumatera', 'utara', 'sumut', 'tahun', 'medali', 'perak', 'provinsi', 'bali', 'diraih', 'bripda', 'made', 'aldi', 'sancitayasa', 'cabang', 'olahraga', 'cabor', 'pencak', 'silat']",personel sie propam polresta denpasar polda bal bripda made aldi sancitayasa hasil raih medali perak pon xxi aceh sumatera utara sumut tahun medali perak provinsi bal raih bripda made aldi sancitayasa cabang olahraga cabor pencak silat,Positif,[],[]
